timestamp,role,org_size,industry,team_focus,storage_environment,orchestration,ai_usage_frequency,ai_helps_with,ai_adoption,modeling_approach,modeling_pain_points,architecture_trend,biggest_bottleneck,team_growth_2026,education_topic,industry_wish,region
36:22.6,Analytics Engineer,"1,000–10,000",Tech,"Analytics / BI, Fighting fires","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging",Building internal AI platforms,Kimball-style dimensional modeling,"Lack of clear ownership, Pressure to “move fast”",Data mesh / federated ownership,Poor requirements / upstream issues,Grow,Semantics / ontologies / knowledge graphs,,Europe (EU / UK)
37:11.8,Data Architect,200–999,Finance,"Data modeling / transformation, Data quality / reliability","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Multiple times per day,"Writing Code (SQL, Python, etc)",Using AI for tactical tasks,Mixed (depends on use case),Pressure to “move fast”,Lakehouse,"Cost cutting, not enough hands ",Not sure,AI/LLM integration,"Data is like water, it flows. But if not controlled it will pop up/show unexpectedly (because business is also like water, it always finds its way) multiplying operational costs and risks.",Europe (EU / UK)
38:27.6,Manager / Director / VP,"10,000+",Tech,"Data quality / reliability, ML / AI, Fighting fires","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Airflow,Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging",Building internal AI platforms,Mixed (depends on use case),"Lack of clear ownership, Hard to maintain over time, Tools don’t support good modeling, Pressure to “move fast”, AI tools produce inconsistent schemas",Data mesh / federated ownership,Legacy / technical debt,Shrink,Architecture patterns,"1. DE for AI requires a different way of thinking (and then building).
2. DEs can no longer work in isolation. They need to work with their upstream and downstream partners. Great DEs always knew this, but many still operate as if they are some engineer who doesn’t need to care about what happens either side of their work.",United States / Canada
38:39.1,Data Engineer,50–199,Manufacturing / Industrial,"Ingestion / pipelines, Data modeling / transformation",Cloud PostgreSQL/MySQL,Airflow,Daily,"Writing Code (SQL, Python, etc), Pipeline debugging",Using AI for tactical tasks,Mixed (depends on use case),"Lack of clear ownership, Pressure to “move fast”",Lakehouse,Lack of leadership direction,Shrink,Career growth / leadership,"that thing you said about data modeling as a program, not a project",Latin America
38:55.5,Analytics Engineer,50–199,Tech,"Data modeling / transformation, Analytics / BI","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",No orchestration / ad-hoc,Multiple times per day,"Writing Code (SQL, Python, etc), Architecture design",Building internal AI platforms,Mixed (depends on use case),"Pressure to “move fast”, AI tools produce inconsistent schemas",Data mesh / federated ownership,Poor requirements / upstream issues,Grow,Career growth / leadership,,United States / Canada
39:01.0,Data Engineer,50–199,Tech,"Data modeling / transformation, Infrastructure / platform work","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Airflow,Rarely,"Writing Code (SQL, Python, etc)",Using AI for tactical tasks,Mixed (depends on use case),"Lack of clear ownership, Hard to maintain over time, Pressure to “move fast”",Event-driven architecture,Lack of leadership direction,Not sure,Data modeling,,United States / Canada
39:23.0,Data Engineer,200–999,Finance,"Data quality / reliability, Analytics / BI",On-prem data warehouse,Control m,Multiple times per day,"Writing Code (SQL, Python, etc)",No meaningful adoption yet,Kimball-style dimensional modeling,Lack of clear ownership,Centralized warehouse,Poor requirements / upstream issues,Stay the same,Semantics / ontologies / knowledge graphs,Shitty processes shitty data,Europe (EU / UK)
39:38.6,Analytics Engineer,"1,000–10,000",Retail/e-commerce,"Data modeling / transformation, Analytics / BI","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",No orchestration / ad-hoc,Rarely,I don't find AI helpful,Experimenting,Mixed (depends on use case),"Lack of clear ownership, Pressure to “move fast”",Centralized warehouse,Legacy / technical debt,Stay the same,AI/LLM integration,,United States / Canada
39:47.6,Manager / Director / VP,"10,000+",Tech,"Ingestion / pipelines, Infrastructure / platform work","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Multiple times per day,"Writing Code (SQL, Python, etc), Data modeling",Building internal AI platforms,Mixed (depends on use case),"Hard to maintain over time, Pressure to “move fast”",Lakehouse,Poor requirements / upstream issues,Stay the same,Semantics / ontologies / knowledge graphs,Data engineering will likely be the mechanism to ensure organizations can produce useful results with AI. AI will change data engineering but won't eliminate it. ,United States / Canada
40:23.7,Data Architect,"10,000+",Finance,"Ingestion / pipelines, Infrastructure / platform work","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",No orchestration / ad-hoc,Daily,Documentation / data discovery,Using AI for tactical tasks,Mixed (depends on use case),"Lack of clear ownership, Tools don’t support good modeling",Centralized warehouse,Lack of leadership direction,Stay the same,Data modeling,,United States / Canada
40:32.7,Analyst,"1,000–10,000",Manufacturing / Industrial,"Analytics / BI, Fighting fires",Mixed/hybrid,No orchestration / ad-hoc,Rarely,"Documentation / data discovery, Architecture design",Experimenting,Mixed (depends on use case),"Lack of clear ownership, Hard to maintain over time",Lakehouse,Poor requirements / upstream issues,Grow,Architecture patterns,,United States / Canada
40:59.0,Manager / Director / VP,< 50 employees,Tech,"Infrastructure / platform work, ML / AI",Warehouse is overselling S3 and EFS,No orchestration / ad-hoc,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",AI embedded in most workflows,Mixed (depends on use case),None / modeling is going well,Main org is small and research-heavy. We use simple object storage for public datasets.,Compute costs,Grow,Architecture patterns,It's a much broader discipline than most people think.,United States / Canada
41:07.3,Analytics Engineer,"1,000–10,000",Tech,"Data modeling / transformation, Analytics / BI","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Airflow,Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging",Building internal AI platforms,Mixed (depends on use case),"Hard to maintain over time, Pressure to “move fast”",Centralized warehouse,Legacy / technical debt,Stay the same,AI/LLM integration,,United States / Canada
41:23.1,Data Engineer,"10,000+",Finance,"Data quality / reliability, Analytics / BI, Fighting fires",On-prem data warehouse,No orchestration / ad-hoc,Rarely,"Writing Code (SQL, Python, etc)",Building internal AI platforms,Ad-hoc / tables added as needed,Lack of clear ownership,Centralized warehouse,Poor requirements / upstream issues,Grow,Architecture patterns,"I don't know if I can speak to the wider industry, but, within my organization, they don't understand that it is a separate important part of an overarching architecture.",Europe (EU / UK)
42:02.0,Data Architect,200–999,Finance,"Ingestion / pipelines, Analytics / BI",Mixed/hybrid,No orchestration / ad-hoc,Multiple times per day,"Writing Code (SQL, Python, etc), Data modeling",Using AI for tactical tasks,Canonical/semantic models,Pressure to “move fast”,Centralized warehouse,Lack of leadership direction,Grow,AI/LLM integration,,Middle East / Africa
42:10.0,Data Engineer,200–999,Tech,"Ingestion / pipelines, Data modeling / transformation","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Daily,"Writing Code (SQL, Python, etc), I don't find AI helpful",Using AI for tactical tasks,Kimball-style dimensional modeling,Pressure to “move fast”,Lakehouse,Legacy / technical debt,Stay the same,Semantics / ontologies / knowledge graphs,how much work a small change can be,Europe (EU / UK)
46:53.1,Manager / Director / VP,"1,000–10,000",Retail/e-commerce,"Analytics / BI, ML / AI, Fighting fires","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging, Documentation / data discovery",AI embedded in most workflows,One Big Table,"Lack of clear ownership, Pressure to “move fast”",Data mesh / federated ownership,Talent / hiring,Grow,Semantics / ontologies / knowledge graphs,"More about supporting decisions and making direct impact, less discussion about tools ",Europe (EU / UK)
47:14.1,Data Architect,"1,000–10,000",Public sector / Education,"Data modeling / transformation, ML / AI","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Multiple times per day,"Documentation / data discovery, Architecture design",Using AI for tactical tasks,Canonical/semantic models,"Lack of clear ownership, Hard to maintain over time, Tools don’t support good modeling, Pressure to “move fast”",Lakehouse,Lack of leadership direction,Stay the same,Architecture patterns,,Europe (EU / UK)
47:57.9,Data Analyst / BI Developer,"10,000+",Retail/e-commerce,"Data modeling / transformation, Data quality / reliability, Analytics / BI","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Not sure,Multiple times per day,"Writing Code (SQL, Python, etc)",Using AI for tactical tasks,Kimball-style dimensional modeling,"Lack of clear ownership, Hard to maintain over time, Pressure to “move fast”",Data mesh / federated ownership,Poor requirements / upstream issues,Stay the same,Architecture patterns,That good engineers need to understand the business in addition to the tech they use.,Europe (EU / UK)
50:13.1,Data Engineer,< 50 employees,Tech,"Data quality / reliability, Infrastructure / platform work, Fighting fires",Data lake on S3 w/ athena,Custom AWS state machine workflow,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Using AI for tactical tasks,Ad-hoc / tables added as needed,"Lack of clear ownership, Hard to maintain over time, Pressure to “move fast”",Lakehouse,Lack of leadership direction,Grow,Reliability engineering,How to define with leadership and compile a centralized source of truth for data (system of record),United States / Canada
52:37.1,Data Engineer,50–199,Tech,"Ingestion / pipelines, Infrastructure / platform work","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery, Architecture design",Using AI for tactical tasks,Ad-hoc / tables added as needed,Lack of clear ownership,Data mesh / federated ownership,Lack of leadership direction,Stay the same,Architecture patterns,,Latin America
56:09.3,Data Engineer,"10,000+",Finance,"Ingestion / pipelines, Data modeling / transformation, ML / AI","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Temporal,Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging, Documentation / data discovery, Data modeling, Architecture design",Building internal AI platforms,Mixed (depends on use case),Hard to maintain over time,Data mesh / federated ownership,Lack of leadership direction,Grow,Career growth / leadership,We are not data science ,Europe (EU / UK)
56:54.1,Data Engineer,200–999,Retail/e-commerce,"Ingestion / pipelines, Data quality / reliability","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)",Databricks,Daily,"Writing Code (SQL, Python, etc), Pipeline debugging",Using AI for tactical tasks,Kimball-style dimensional modeling,"Lack of clear ownership, Pressure to “move fast”",Lakehouse,Legacy / technical debt,Grow,Data modeling,We are the backbone for good data used by ML and AI.,United States / Canada
57:06.5,Manager / Director / VP,< 50 employees,Tech,"Ingestion / pipelines, ML / AI","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)",No orchestration / ad-hoc,Multiple times per day,"Writing Code (SQL, Python, etc), Architecture design",AI embedded in most workflows,Kimball-style dimensional modeling,"Lack of clear ownership, Hard to maintain over time, Pressure to “move fast”",Centralized warehouse,Legacy / technical debt,Shrink,AI/LLM integration,,United States / Canada
00:07.3,early startup founder,< 50 employees,Healthcare,"Ingestion / pipelines, ML / AI",Mixed/hybrid,Dagster,Multiple times per day,"Writing Code (SQL, Python, etc), Architecture design",Building internal AI platforms,Ad-hoc / tables added as needed,"Hard to maintain over time, Tools don’t support good modeling, AI tools produce inconsistent schemas",Event-driven architecture,Tool complexity,Grow,Semantics / ontologies / knowledge graphs,"Seems like every tool in LLM/AI space requires a K8s cluster with half the Apache foundation to do something a basic CMS could do. Most of the problems are not big enough for that, most companies are not going to drop > $300/m on infra just to manage their prompts.",United States / Canada
01:22.9,Manager / Director / VP,"1,000–10,000",Manufacturing / Industrial,"Data modeling / transformation, Data quality / reliability, ML / AI","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging, Architecture design",No meaningful adoption yet,Ad-hoc / tables added as needed,"Lack of clear ownership, Pressure to “move fast”",Data mesh / federated ownership,Lack of leadership direction,Grow,Data modeling,,United States / Canada
02:47.7,Manager / Director / VP,200–999,Manufacturing / Industrial,"Data quality / reliability, Fighting fires",On-prem data warehouse,SSIS,Daily,"Writing Code (SQL, Python, etc), Documentation / data discovery",Experimenting,Ad-hoc / tables added as needed,"Lack of clear ownership, Tools don’t support good modeling, Pressure to “move fast”",Centralized warehouse,Legacy / technical debt,Grow,Architecture patterns,"You cannot build fast, good and cheap.",Europe (EU / UK)
05:18.3,Software Engineer working on data,200–999,Healthcare,"Ingestion / pipelines, Analytics / BI","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)",No orchestration / ad-hoc,Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging, Documentation / data discovery, Data modeling, Governance / quality checks",Using AI for tactical tasks,Ad-hoc / tables added as needed,Pressure to “move fast”,Event-driven architecture,Compute costs,Not sure,Streaming / event-driven systems,,United States / Canada
05:24.3,Analytics Engineer,"1,000–10,000",Finance,"Data modeling / transformation, Analytics / BI","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",No orchestration / ad-hoc,Never,I don't find AI helpful,No meaningful adoption yet,Ad-hoc / tables added as needed,"Lack of clear ownership, Hard to maintain over time, Tools don’t support good modeling",a message table per report,Legacy / technical debt,Stay the same,Data modeling,The many d different roles engineers play,United States / Canada
08:59.0,Data Engineer,"10,000+",Retail/e-commerce,"Ingestion / pipelines, Data quality / reliability","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Building internal AI platforms,Event-driven modeling,None / modeling is going well,Centralized warehouse,Compute costs,Stay the same,Streaming / event-driven systems,,Latin America
10:13.2,Data Engineer,200–999,Retail/e-commerce,"Ingestion / pipelines, Infrastructure / platform work","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)",Airflow,Daily,"Writing Code (SQL, Python, etc), Documentation / data discovery",AI embedded in most workflows,Event-driven modeling,Lack of clear ownership,Lakehouse,Lack of leadership direction,Grow,Streaming / event-driven systems,,Europe (EU / UK)
11:10.9,Data Engineer,50–199,Finance,"Ingestion / pipelines, Data modeling / transformation","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Airflow,Daily,"Writing Code (SQL, Python, etc), Data modeling",Using AI for tactical tasks,One Big Table,Pressure to “move fast”,Lakehouse,Data quality,Grow,Data modeling,,Europe (EU / UK)
11:42.3,Data Engineer,200–999,Retail/e-commerce,Data modeling / transformation,"Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Experimenting,Kimball-style dimensional modeling,Tools don’t support good modeling,Centralized warehouse,Data quality,Stay the same,Architecture patterns,Successful teams vs unsuccessful teams are often separated by operational discipline. ,United States / Canada
12:01.1,Platform Engineer,"10,000+",Healthcare,"Data modeling / transformation, Data quality / reliability, Fighting fires","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Daily,"Writing Code (SQL, Python, etc), Documentation / data discovery",Experimenting,Kimball-style dimensional modeling,"Lack of clear ownership, Tools don’t support good modeling, Pressure to “move fast”",Lakehouse,Data quality,Stay the same,Data modeling,,Europe (EU / UK)
13:21.8,Platform Engineer,"1,000–10,000",Healthcare,"Ingestion / pipelines, Infrastructure / platform work","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)",Dagster,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",AI embedded in most workflows,Mixed (depends on use case),"Lack of clear ownership, Pressure to “move fast”",Data mesh / federated ownership,Legacy / technical debt,Not sure,Semantics / ontologies / knowledge graphs,,United States / Canada
13:53.9,Data Engineer,200–999,Public sector / Education,"Ingestion / pipelines, Data modeling / transformation, Data quality / reliability","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Airflow,Daily,"Writing Code (SQL, Python, etc), Pipeline debugging, Documentation / data discovery, Governance / quality checks",Experimenting,One Big Table,"Lack of clear ownership, Hard to maintain over time, Pressure to “move fast”",Event-driven architecture,Data quality,Stay the same,Architecture patterns,,Asia–Pacific
14:14.7,Data Engineer,200–999,Retail/e-commerce,"Data modeling / transformation, Infrastructure / platform work","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging",Building internal AI platforms,Mixed (depends on use case),"Hard to maintain over time, Pressure to “move fast”",Centralized warehouse,Not enough people,Stay the same,Streaming / event-driven systems,,United States / Canada
14:41.1,Data Engineer,200–999,Tech,"Ingestion / pipelines, ML / AI","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Matillion,Daily,"Writing Code (SQL, Python, etc), Pipeline debugging",Building internal AI platforms,Mixed (depends on use case),Pressure to “move fast”,Centralized warehouse,Talent / hiring,Stay the same,Semantics / ontologies / knowledge graphs,,United States / Canada
15:36.1,Data Engineer,< 50 employees,Public sector / Education,"Ingestion / pipelines, Data modeling / transformation","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Airflow,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Using AI for tactical tasks,Mixed (depends on use case),"Lack of clear ownership, Tools don’t support good modeling, Pressure to “move fast”",Data mesh / federated ownership,Tool complexity,Stay the same,Architecture patterns,,United States / Canada
16:57.6,Data Architect,"1,000–10,000",Healthcare,"Ingestion / pipelines, Data quality / reliability, Analytics / BI, Fighting fires","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Multiple times per day,"Writing Code (SQL, Python, etc), Architecture design",Experimenting,Mixed (depends on use case),"Hard to maintain over time, Pressure to “move fast”",Lakehouse,Poor requirements / upstream issues,Stay the same,Semantics / ontologies / knowledge graphs,,Europe (EU / UK)
19:02.6,ML Engineer / MLOps,"10,000+",Retail/e-commerce,"Data modeling / transformation, ML / AI","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)",Airflow,Multiple times per day,"Writing Code (SQL, Python, etc), Architecture design",Experimenting,Kimball-style dimensional modeling,"Lack of clear ownership, Hard to maintain over time",Lakehouse,Lack of leadership direction,Grow,Architecture patterns,,United States / Canada
19:04.0,Platform Engineer,"1,000–10,000",Tech,"Ingestion / pipelines, Infrastructure / platform work, Fighting fires","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Airflow,Daily,"Writing Code (SQL, Python, etc), Pipeline debugging, Documentation / data discovery, Architecture design",Experimenting,Mixed (depends on use case),"Lack of clear ownership, Hard to maintain over time, Pressure to “move fast”",Data mesh / federated ownership,Lack of leadership direction,Stay the same,Career growth / leadership,"SaaS vendors won't solve your problems - it matters very little whether you use Snowflake, DataBricks, AWS or GCP.  ",Europe (EU / UK)
19:25.1,Data Architect,"1,000–10,000",Healthcare,"Data modeling / transformation, Infrastructure / platform work","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Daily,"Writing Code (SQL, Python, etc), Documentation / data discovery",Using AI for tactical tasks,Mixed (depends on use case),"Lack of clear ownership, Pressure to “move fast”",Lakehouse,Poor requirements / upstream issues,Grow,AI/LLM integration,,Europe (EU / UK)
21:09.2,Analytics Engineer,50–199,Tech,"Analytics / BI, Fighting fires","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",dbt,Multiple times per day,"Pipeline debugging, Documentation / data discovery",Using AI for tactical tasks,Mixed (depends on use case),Pressure to “move fast”,Centralized warehouse,Lack of leadership direction,Stay the same,Architecture patterns,,United States / Canada
21:47.0,Manager / Director / VP,200–999,Manufacturing / Industrial,"Data modeling / transformation, Analytics / BI",Fabric,Fabric data pipelines,Multiple times per day,"Writing Code (SQL, Python, etc)",Experimenting,Ad-hoc / tables added as needed,"Tools don’t support good modeling, Pressure to “move fast”",Lakehouse,Talent / hiring,Not sure,Data modeling,,United States / Canada
23:39.9,Software Engineer working on data,"1,000–10,000",Tech,"Infrastructure / platform work, Fighting fires",On-prem data warehouse,"Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Daily,"Writing Code (SQL, Python, etc)",Using AI for tactical tasks,Mixed (depends on use case),Pressure to “move fast”,Centralized warehouse,Legacy / technical debt,Grow,Reliability engineering,,Europe (EU / UK)
23:46.9,Platform Engineer,50–199,Tech,"Ingestion / pipelines, Data modeling / transformation, Infrastructure / platform work, Analytics / BI","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)",Prefect,Multiple times per day,"Writing Code (SQL, Python, etc), Pipeline debugging, Documentation / data discovery, Data modeling",No meaningful adoption yet,Ad-hoc / tables added as needed,"Lack of clear ownership, Hard to maintain over time",Lakehouse,Lack of leadership direction,Grow,Streaming / event-driven systems,,Europe (EU / UK)
23:51.2,Data Architect,200–999,Tech,"Ingestion / pipelines, Data modeling / transformation","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",No orchestration / ad-hoc,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Using AI for tactical tasks,Kimball-style dimensional modeling,None / modeling is going well,Centralized warehouse,Talent / hiring,Grow,Reliability engineering,,United States / Canada
24:12.3,Data Engineer,"1,000–10,000",Manufacturing / Industrial,"Ingestion / pipelines, Data modeling / transformation","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)","Cloud-native (GCP Cloud Composer, AWS MWAA, etc.)",Daily,"Writing Code (SQL, Python, etc), Documentation / data discovery",Using AI for tactical tasks,Mixed (depends on use case),Lack of clear ownership,Lakehouse,Talent / hiring,Grow,Semantics / ontologies / knowledge graphs,,United States / Canada
26:01.9,Data Engineer,"1,000–10,000",Tech,"Data modeling / transformation, Analytics / BI, Fighting fires","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Dagster,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Building internal AI platforms,Kimball-style dimensional modeling,Pressure to “move fast”,Centralized warehouse,Lack of leadership direction,Grow,AI/LLM integration,,Europe (EU / UK)
